Pais,Region,Producto,Año,Monto,Peso
México,Norteamérica,Electrónicos,2024,150000,45.5
Estados Unidos,Norteamérica,Textiles,2024,200000,120.0
Canadá,Norteamérica,Alimentos,2023,180000,300.0
Guatemala,Centroamérica,Café,2024,80000,50.0
Costa Rica,Centroamérica,Frutas,2024,95000,75.0
México,Norteamérica,Automotriz,2024,300000,500.0
Panamá,Centroamérica,Banano,2023,60000,100.0
Estados Unidos,Norteamérica,Tecnología,2023,250000,80.0
Honduras,Centroamérica,Textiles,2024,45000,60.0
Canadá,Norteamérica,Minería,2024,400000,800.0
El Salvador,Centroamérica,Café,2024,35000,40.0
México,Norteamérica,Agrícola,2023,120000,250.0
Nicaragua,Centroamérica,Tabaco,2023,55000,30.0
Estados Unidos,Norteamérica,Farmacéutico,2024,500000,25.0
Costa Rica,Centroamérica,Piña,2023,70000,85.0
